n02119789	kit fox, vulpes macrotis
n13194036	marginal wood fern, evergreen wood fern, leatherleaf wood fern, dryopteris marginalis
n13194212	mountain male fern, dryopteris oreades
n13193642	wood fern, wood fern, woodfern
n13194758	alpine lady fern, athyrium distentifolium
n13194572	lady fern, athyrium filix femina
n13194918	silvery spleenwort, glade fern, narrow leaved spleenwort, athyrium pycnocarpon, diplazium pycnocarpon
n13195341	holly fern, cyrtomium aculeatum, polystichum aculeatum
n13196003	brittle bladder fern, brittle fern, fragile fern, cystopteris fragilis
n13196234	mountain bladder fern, cystopteris montana
n13196369	bulblet fern, bulblet bladder fern, berry fern, cystopteris bulbifera
n13195761	bladder fern
n13196738	silvery spleenwort, deparia acrostichoides, athyrium thelypteroides
n13197274	oak fern, gymnocarpium dryopteris, thelypteris dryopteris
n13197507	limestone fern, northern oak fern, gymnocarpium robertianum
n13198054	ostrich fern, shuttlecock fern, fiddlehead, matteuccia struthiopteris, pteretis struthiopteris, onoclea struthiopteris
n13198482	hart's tongue, hart's tongue fern, olfersia cervina, polybotrya cervina, polybotria cervina
n13198914	sensitive fern, bead fern, onoclea sensibilis
n13199717	christmas fern, canker brake, dagger fern, evergreen wood fern, polystichum acrostichoides
n13200193	braun's holly fern, prickly shield fern, polystichum braunii
n13200542	western holly fern, polystichum scopulinum
n13199970	holly fern
n13200986	leather fern, leatherleaf fern, ten day fern, rumohra adiantiformis, polystichum adiantiformis
n13201423	button fern, tectaria cicutaria
n13201566	indian button fern, tectaria macrodonta
n13202125	rusty woodsia, fragrant woodsia, oblong woodsia, woodsia ilvensis
n13202355	alpine woodsia, northern woodsia, flower cup fern, woodsia alpina
n13202602	smooth woodsia, woodsia glabella
n13201969	woodsia
n13205058	boston fern, nephrolepis exaltata, nephrolepis exaltata bostoniensis
n13205249	basket fern, toothed sword fern, nephrolepis pectinata
n13206178	golden fern, leather fern, acrostichum aureum
n13207094	common maidenhair, venushair, venus' hair fern, southern maidenhair, venus maidenhair, adiantum capillus veneris
n13207335	american maidenhair fern, five fingered maidenhair fern, adiantum pedatum
n13207572	bermuda maidenhair, bermuda maidenhair fern, adiantum bellum
n13207923	farley maidenhair, farley maidenhair fern, barbados maidenhair, glory fern, adiantum tenerum farleyense
n13207736	brittle maidenhair, brittle maidenhair fern, adiantum tenerum
n13206817	maidenhair, maidenhair fern
n13208302	annual fern, jersey fern, anogramma leptophylla
n13208965	smooth lip fern, alabama lip fern, cheilanthes alabamensis
n13209270	wooly lip fern, hairy lip fern, cheilanthes lanosa
n13209460	southwestern lip fern, cheilanthes eatonii
n13208705	lip fern, lipfern
n13209129	lace fern, cheilanthes gracillima
n13209808	bamboo fern, coniogramme japonica
n13210350	american rock brake, american parsley fern, cryptogramma acrostichoides
n13210597	european parsley fern, mountain parsley fern, cryptogramma crispa
n13211020	hand fern, doryopteris pedata
n13212025	coffee fern, pellaea andromedifolia
n13212175	purple rock brake, pellaea atropurpurea
n13212379	bird's foot fern, pellaea mucronata, pellaea ornithopus
n13211790	cliff brake, cliff brake, rock brake
n13212559	button fern, pellaea rotundifolia
n13213066	silver fern, pityrogramma argentea
n13213397	golden fern, pityrogramma calomelanos aureoflava
n13213577	gold fern, pityrogramma chrysophylla
n13214217	pteris cretica
n13214340	spider brake, spider fern, pteris multifida
n13214485	ribbon fern, spider fern, pteris serrulata
n13215258	potato fern, marattia salicina
n13228017	snuffbox fern, meadow fern, thelypteris palustris pubescens, dryopteris thelypteris pubescens
n13228536	christella
n13229543	mountain fern, oreopteris limbosperma, dryopteris oreopteris
n13229951	new york fern, parathelypteris novae boracensis, dryopteris noveboracensis
n13230190	massachusetts fern, parathelypteris simulata, thelypteris simulata
n13230843	broad beech fern, southern beech fern, phegopteris hexagonoptera, dryopteris hexagonoptera, thelypteris hexagonoptera
n13231078	long beech fern, narrow beech fern, northern beech fern, phegopteris connectilis, dryopteris phegopteris, thelypteris phegopteris
n13230662	beech fern
n11545714	fern
n13217005	skeleton fork fern, psilotum nudum
n13219833	common horsetail, field horsetail, equisetum arvense
n13219976	swamp horsetail, water horsetail, equisetum fluviatile
n13220122	scouring rush, rough horsetail, equisetum hyemale, equisetum hyemale robustum, equisetum robustum
n13220355	marsh horsetail, equisetum palustre
n13220525	wood horsetail, equisetum sylvaticum
n13220663	variegated horsetail, variegated scouring rush, equisetum variegatum
n13219422	horsetail
n13222877	shining clubmoss, lycopodium lucidulum
n13222985	alpine clubmoss, lycopodium alpinum
n13223090	fir clubmoss, mountain clubmoss, little clubmoss, lycopodium selago
n13223588	ground cedar, staghorn moss, lycopodium complanatum
n13223710	ground fir, princess pine, tree clubmoss, lycopodium obscurum
n13223843	foxtail grass, lycopodium alopecuroides
n13224922	meadow spikemoss, basket spikemoss, selaginella apoda
n13225244	desert selaginella, selaginella eremophila
n13225365	resurrection plant, rose of jericho, selaginella lepidophylla
n13225617	florida selaginella, selaginella eatonii
n13224673	spikemoss, spike moss, little club moss
n13221529	club moss, club moss, lycopod
n13226320	quillwort
n11547562	fern ally
n11545524	pteridophyte, nonflowering plant
n11552594	seedling
n11599324	welwitschia, welwitschia mirabilis
n11601333	false sago, fern palm, cycas circinalis
n11601177	sago palm, cycas revoluta
n11602091	coontie, florida arrowroot, seminole bread, zamia pumila
n11601918	zamia
n11602478	ceratozamia
n11602873	dioon
n11603246	encephalartos
n11603462	kaffir bread, encephalartos caffer
n11603835	macrozamia
n11604046	burrawong, macrozamia communis, macrozamia spiralis
n11600372	cycad
n11596108	gymnosperm
n12694486	barbados cherry, acerola, surinam cherry, west indian cherry, malpighia glabra
n11666854	dicot, dicotyledon, magnoliopsid, exogen
n11668117	monocot, monocotyledon, liliopsid, endogen
n11672269	bloomer
n11719286	peony, paeony
n11721337	lesser celandine, pilewort, ranunculus ficaria
n11724660	pheasant's eye, adonis annua
n11725311	alpine anemone, mountain anemone, anemone tetonensis
n11725480	canada anemone, anemone canadensis
n11726145	longheaded thimbleweed, anemone riparia
n11726433	virginia thimbleweed, anemone virginiana
n11725623	thimbleweed, anemone cylindrica
n11725821	wood anemone, anemone nemorosa
n11725973	wood anemone, snowdrop, anemone quinquefolia
n11726269	snowdrop anemone, snowdrop windflower, anemone sylvestris
n11725015	anemone, windflower
n11726707	rue anemone, anemonella thalictroides
n11727358	meeting house, honeysuckle, aquilegia canadensis
n11727540	blue columbine, aquilegia caerulea, aquilegia scopulorum calcarea
n11727738	granny's bonnets, aquilegia vulgaris
n11727091	columbine, aquilegia, aquilege
n11732567	rocket larkspur, consolida ambigua, delphinium ajacis
n11733312	larkspur
n11733054	delphinium
n11736851	love in a mist, nigella damascena
n11737009	fennel flower, nigella hispanica
n11737125	black caraway, nutmeg flower, roman coriander, nigella sativa
n11736694	nigella
n11792341	spathiphyllum, peace lily, spathe flower
n11794024	pink calla, zantedeschia rehmanii
n11794139	golden calla
n11793779	calla lily, calla, arum lily, zantedeschia aethiopica
n11806219	mountain sandwort, mountain starwort, mountain daisy, arenaria groenlandica
n11806369	pine barren sandwort, longroot, arenaria caroliniana
n11806521	seabeach sandwort, arenaria peploides
n11806679	rock sandwort, arenaria stricta
n11806814	thyme leaved sandwort, arenaria serpyllifolia
n11805956	sandwort
n11808299	sweet william, dianthus barbatus
n11808468	carnation, clove pink, gillyflower, dianthus caryophyllus
n11808932	japanese pink, dianthus chinensis heddewigii
n11808721	china pink, rainbow pink, dianthus chinensis
n11809094	maiden pink, dianthus deltoides
n11809271	cheddar pink, diangus gratianopolitanus
n11809437	button pink, dianthus latifolius
n11809594	cottage pink, grass pink, dianthus plumarius
n11809754	fringed pink, dianthus supurbus
n11807979	pink, garden pink
n11810358	baby's breath, babies' breath, gypsophila paniculata
n11811706	ragged robin, cuckoo flower, lychnis flos cuculi, lychins floscuculi
n11811921	scarlet lychnis, maltese cross, lychins chalcedonica
n11812094	mullein pink, rose campion, gardener's delight, dusty miller, lychnis coronaria
n11811473	lychnis, catchfly
n11812910	sandwort, moehringia lateriflora
n11813077	sandwort, moehringia mucosa
n11814584	soapwort, hedge pink, bouncing bet, bouncing bess, saponaria officinalis
n11815721	moss campion, silene acaulis
n11815918	wild pink, silene caroliniana
n11816121	red campion, red bird's eye, silene dioica, lychnis dioica
n11816336	white campion, evening lychnis, white cockle, bladder campion, silene latifolia, lychnis alba
n11816649	fire pink, silene virginica
n11816829	bladder campion, silene uniflora, silene vulgaris
n11815491	silene, campion, catchfly
n11818636	cowherb, cow cockle, vaccaria hispanica, vaccaria pyramidata, saponaria vaccaria
n11821184	ice plant, icicle plant, mesembryanthemum crystallinum
n11820965	fig marigold, pebble plant
n11826198	globe amaranth, bachelor's button, gomphrena globosa
n11836327	scarlet musk flower, nyctaginia capitata
n11839460	umbrellawort
n11839823	common four o'clock, marvel of peru, mirabilis jalapa, mirabilis uniflora
n11840067	california four o'clock, mirabilis laevis, mirabilis californica
n11840246	sweet four o'clock, maravilla, mirabilis longiflora
n11840476	desert four o'clock, colorado four o'clock, maravilla, mirabilis multiflora
n11840764	mountain four o'clock, mirabilis oblongifolia
n11839568	four o'clock
n11857875	rose moss, sun plant, portulaca grandiflora
n11857696	portulaca
n11859275	carolina spring beauty, claytonia caroliniana
n11859472	spring beauty, clatonia lanceolata
n11859737	virginia spring beauty, claytonia virginica
n11883328	wallflower, cheiranthus cheiri, erysimum cheiri
n11883628	prairie rocket
n11887476	siberian wall flower, erysimum allionii, cheiranthus allionii
n11887119	wallflower
n11887310	prairie rocket
n11887750	western wall flower, erysimum asperum, cheiranthus asperus, erysimum arkansanum
n11888424	heliophila
n11888800	damask violet, dame's violet, sweet rocket, hesperis matronalis
n11889619	candytuft
n11891175	sweet alyssum, sweet alison, lobularia maritima
n11892029	malcolm stock, stock
n11892181	virginian stock, virginia stock, malcolmia maritima
n11892817	brompton stock, matthiola incana
n11892637	stock, gillyflower
n11896141	schizopetalon, schizopetalon walkeri
n11901294	iceland poppy, papaver alpinum
n11901452	western poppy, papaver californicum
n11901597	prickly poppy, papaver argemone
n11901759	iceland poppy, arctic poppy, papaver nudicaule
n11901977	oriental poppy, papaver orientale
n11902200	corn poppy, field poppy, flanders poppy, papaver rhoeas
n11902389	opium poppy, papaver somniferum
n11903671	celandine, greater celandine, swallowwort, swallow wort, chelidonium majus
n11905392	california poppy, eschscholtzia californica
n11906127	golden cup, mexican tulip poppy, hunnemania fumariifolia
n11906514	plume poppy, bocconia, macleaya cordata
n11906917	blue poppy, meconopsis betonicifolia
n11907100	welsh poppy, meconopsis cambrica
n11907405	creamcups, platystemon californicus
n11908549	wind poppy, flaming poppy, stylomecon heterophyllum, papaver heterophyllum
n11908846	celandine poppy, wood poppy, stylophorum diphyllum
n11900569	poppy
n11904109	corydalis
n11905749	horn poppy, horned poppy, yellow horned poppy, sea poppy, glaucium flavum
n11987511	prickly lettuce, horse thistle, lactuca serriola, lactuca scariola
n12015221	rosinweed, silphium laciniatum
n11915658	compass plant, compass flower
n11917407	pink and white everlasting, pink paper daisy, acroclinium roseum
n11921395	pearly everlasting, cottonweed, anaphalis margaritacea
n11972959	chafeweed, wood cudweed, gnaphalium sylvaticum
n11972759	cudweed
n11980318	strawflower, golden everlasting, yellow paper daisy, helichrysum bracteatum
n11981192	strawflower
n11999656	cascade everlasting, ozothamnus secundiflorus, helichrysum secundiflorum
n12007766	swan river everlasting, rhodanthe, rhodanthe manglesii, helipterum manglesii
n12033709	immortelle, xeranthemum annuum
n11915899	everlasting, everlasting flower
n11923174	mayweed, dog fennel, stinking mayweed, stinking chamomile, anthemis cotula
n11923397	yellow chamomile, golden marguerite, dyers' chamomile, anthemis tinctoria
n11923637	corn chamomile, field chamomile, corn mayweed, anthemis arvensis
n11990167	oxeye daisy, leucanthemum maximum, chrysanthemum maximum
n11990313	shasta daisy, leucanthemum superbum, chrysanthemum maximum maximum
n11990627	pyrenees daisy, leucanthemum lacustre, chrysanthemum lacustre
n12023407	dusty miller, silver lace, silver lace, tanacetum ptarmiciflorum, chrysanthemum ptarmiciflorum
n12023726	tansy, golden buttons, scented fern, tanacetum vulgare
n12030908	wingstem, golden ironweed, yellow ironweed, golden honey plant, verbesina alternifolia, actinomeris alternifolia
n12031139	cowpen daisy, golden crownbeard, golden crown beard, butter daisy, verbesina encelioides, ximenesia encelioides
n12031388	gravelweed, verbesina helianthoides
n12031547	virginia crownbeard, frostweed, frost weed, verbesina virginica
n12030654	crownbeard, crown beard, crown beard
n11915214	composite, composite plant
n11918473	common ageratum, ageratum houstonianum
n11918286	ageratum
n11918808	sweet sultan, amberboa moschata, centaurea moschata
n11920663	winged everlasting, ammobium alatum
n11920498	ammobium
n11925303	african daisy
n11925450	blue eyed african daisy, arctotis stoechadifolia, arctotis venusta
n11933257	heart leaved aster, aster cordifolius
n11933387	white wood aster, aster divaricatus
n11934463	large leaved aster, aster macrophyllus
n11932745	wood aster
n11932927	whorled aster, aster acuminatus
n11933099	heath aster, aster arenosus
n11933546	bushy aster, aster dumosus
n11933728	heath aster, aster ericoides
n11933903	white prairie aster, aster falcatus
n11934041	stiff aster, aster linarifolius
n11934239	goldilocks, goldilocks aster, aster linosyris, linosyris vulgaris
n11934616	new england aster, aster novae angliae
n11934807	michaelmas daisy, new york aster, aster novi belgii
n11935027	upland white aster, aster ptarmicoides
n11935187	short's aster, aster shortii
n11935330	sea aster, sea starwort, aster tripolium
n11935469	prairie aster, aster turbinellis
n11935627	annual salt marsh aster
n11935715	aromatic aster
n11935794	arrow leaved aster
n11935877	azure aster
n11935953	bog aster
n11936027	crooked stemmed aster
n11936113	eastern silvery aster
n11936199	flat topped white aster
n11936287	late purple aster
n11936369	panicled aster
n11936448	perennial salt marsh aster
n11936539	purple stemmed aster
n11936624	rough leaved aster
n11936707	rush aster
n11936782	schreiber's aster
n11936864	small white aster
n11936946	smooth aster
n11937023	southern aster
n11937102	starved aster, calico aster
n11937195	tradescant's aster
n11937278	wavy leaved aster
n11937360	western silvery aster
n11937446	willow aster
n11931918	aster
n11939699	common daisy, english daisy, bellis perennis
n11939491	daisy
n11941924	swan river daisy, brachycome iberidifolia
n11943660	common marigold, pot marigold, ruddles, scotch marigold, calendula officinalis
n11943407	calendula
n11943992	china aster, callistephus chinensis
n11946918	blue succory, cupid's dart, catananche caerulea
n11946727	catananche
n11947802	cornflower, bachelor's button, bluebottle, centaurea cyanus
n11948469	sweet sultan, centaurea imperialis
n11950686	corn marigold, field marigold, chrysanthemum segetum
n11950877	crown daisy, chrysanthemum coronarium
n11951052	chop suey greens, tong ho, shun giku, chrysanthemum coronarium spatiosum
n11961100	florist's chrysanthemum, florists' chrysanthemum, mum, dendranthema grandifloruom, chrysanthemum morifolium
n11950345	chrysanthemum
n11955896	mistflower, mist flower, ageratum, conoclinium coelestinum, eupatorium coelestinum
n11958080	cosmos, cosmea
n11958499	brass buttons, cotula coronopifolia
n11958888	billy buttons
n11960245	dahlia, dahlia pinnata
n11961446	cape marigold, sun marigold, star of the veldt
n11962272	coneflower
n11969607	blue daisy, blue marguerite, felicia amelloides
n11969806	kingfisher daisy, felicia bergeriana
n11970298	herba impia, filago germanica
n11970101	cotton rose, cudweed, filago
n11971406	treasure flower, gazania rigens
n11971248	gazania
n11971927	barberton daisy, transvaal daisy, gerbera jamesonii
n11971783	african daisy
n11978551	swamp sunflower, helianthus angustifolius
n11978713	common sunflower, mirasol, helianthus annuus
n11978961	giant sunflower, tall sunflower, indian potato, helianthus giganteus
n11979187	showy sunflower, helianthus laetiflorus
n11979354	maximilian's sunflower, helianthus maximilianii
n11979527	prairie sunflower, helianthus petiolaris
n11979715	jerusalem artichoke, girasol, jerusalem artichoke sunflower, helianthus tuberosus
n11988596	tidytips, tidy tips, layia platyglossa
n11989869	oxeye daisy, ox eyed daisy, marguerite, moon daisy, white daisy, leucanthemum vulgare, chrysanthemum leucanthemum
n11992479	texas star, lindheimera texana
n11992806	african daisy, yellow ageratum, lonas inodora, lonas annua
n12001707	cineraria, pericallis cruenta, senecio cruentus
n12001924	florest's cineraria, pericallis hybrida
n12008487	black eyed susan, rudbeckia hirta, rudbeckia serotina
n12009047	golden glow, double gold, hortensia, rudbeckia laciniata hortensia
n12008749	cutleaved coneflower, rudbeckia laciniata
n12008252	coneflower
n12013701	narrow leaved white topped aster
n12013511	white topped aster
n12020184	stokes' aster, cornflower aster, stokesia laevis
n12020736	african marigold, big marigold, aztec marigold, tagetes erecta
n12020941	french marigold, tagetes patula
n12020507	marigold
n12022054	painted daisy, pyrethrum, tanacetum coccineum, chrysanthemum coccineum
n12026018	mexican sunflower, tithonia
n12026476	easter daisy, stemless daisy, townsendia exscapa
n12030092	ursinia
n12033504	xeranthemum
n12034384	white zinnia, zinnia acerosa
n12034594	little golden zinnia, zinnia grandiflora
n12034141	zinnia, old maid, old maid flower
n12035631	blazing star, mentzelia livicaulis, mentzelia laevicaulis
n12035907	bartonia, mentzelia lindleyi
n12043673	male orchis, early purple orchid, orchis mascula
n12043836	butterfly orchid, butterfly orchis, orchis papilionaceae
n12044041	showy orchis, purple orchis, purple hooded orchis, orchis spectabilis
n12043444	orchis
n12044467	aerides
n12044784	angrecum
n12045157	jewel orchid
n12045514	puttyroot, adam and eve, aplectrum hyemale
n12046028	bog rose, wild pink, dragon's mouth, arethusa bulbosa
n12045860	arethusa
n12046428	bletia
n12046815	bletilla striata, bletia striata
n12047345	brassavola
n12047884	spider orchid, brassia lawrenceana
n12048056	spider orchid, brassia verrucosa
n12048399	caladenia
n12048928	calanthe
n12049282	grass pink, calopogon pulchellum, calopogon tuberosum
n12049562	calypso, fairy slipper, calypso bulbosa
n12050533	cattleya
n12051103	red helleborine, cephalanthera rubra
n12050959	helleborine
n12051514	spreading pogonia, funnel crest rosebud orchid, cleistes divaricata, pogonia divaricata
n12051792	rosebud orchid, cleistes rosea, pogonia rosea
n12052267	satyr orchid, coeloglossum bracteatum
n12052447	frog orchid, coeloglossum viride
n12052787	coelogyne
n12053690	spotted coral root, corallorhiza maculata
n12053962	striped coral root, corallorhiza striata
n12054195	early coral root, pale coral root, corallorhiza trifida
n12053405	coral root
n12055073	swan orchid, swanflower, swan flower, swanneck, swan neck
n12055516	cymbid, cymbidium
n12056099	cypripedia
n12056601	moccasin flower, nerveroot, cypripedium acaule
n12056758	common lady's slipper, showy lady's slipper, showy lady slipper, cypripedium reginae, cypripedium album
n12056990	ram's head, ram's head lady's slipper, cypripedium arietinum
n12057447	large yellow lady's slipper, cypripedium calceolus pubescens
n12057211	yellow lady's slipper, yellow lady slipper, cypripedium calceolus, cypripedium parviflorum
n12057660	california lady's slipper, cypripedium californicum
n12057895	clustered lady's slipper, cypripedium fasciculatum
n12058192	mountain lady's slipper, cypripedium montanum
n12056217	lady's slipper, lady slipper, ladies' slipper, slipper orchid
n12058630	marsh orchid
n12058822	common spotted orchid, dactylorhiza fuchsii, dactylorhiza maculata fuchsii
n12059314	dendrobium
n12059625	disa
n12060546	phantom orchid, snow orchid, eburophyton austinae
n12061104	tulip orchid, encyclia citrina, cattleya citrina
n12061380	butterfly orchid, encyclia tampensis, epidendrum tampense
n12061614	butterfly orchid, butterfly orchis, epidendrum venosum, encyclia venosa
n12062105	epidendron
n12062626	epipactis helleborine
n12062781	stream orchid, chatterbox, giant helleborine, epipactis gigantea
n12062468	helleborine
n12063211	tongueflower, tongue flower
n12063639	rattlesnake plantain, helleborine
n12064389	fragrant orchid, gymnadenia conopsea
n12064591	short spurred fragrant orchid, gymnadenia odoratissima
n12066261	white fringed orchis, white fringed orchid, habenaria albiflora
n12066630	purple fringed orchid, purple fringed orchis, habenaria fimbriata
n12067029	hooker's orchid, habenaria hookeri
n12067193	ragged orchid, ragged orchis, ragged fringed orchid, green fringed orchis, habenaria lacera
n12067433	prairie orchid, prairie white fringed orchis, habenaria leucophaea
n12067672	snowy orchid, habenaria nivea
n12068138	purple fringeless orchid, purple fringeless orchis, habenaria peramoena
n12068432	purple fringed orchid, purple fringed orchis, habenaria psycodes
n12065316	fringed orchis, fringed orchid
n12065649	frog orchid
n12066018	bog rein orchid, bog candles, habenaria dilatata
n12066451	elegant habenaria, habenaria elegans
n12066821	coastal rein orchid, habenaria greenei
n12067817	round leaved rein orchid, habenaria orbiculata
n12068615	alaska rein orchid, habenaria unalascensis
n12065777	rein orchid, rein orchis
n12069009	crested coral root, hexalectris spicata
n12069217	texas purple spike, hexalectris warnockii
n12069679	lizard orchid, himantoglossum hircinum
n12070016	laelia
n12070381	liparis
n12070583	twayblade
n12070712	fen orchid, fen orchis, liparis loeselii
n12071259	broad leaved twayblade, listera convallarioides
n12071477	lesser twayblade, listera cordata
n12071744	twayblade, listera ovata
n12072210	green adder's mouth, malaxis unifolia, malaxis ophioglossoides
n12072722	masdevallia
n12073217	maxillaria
n12073554	pansy orchid
n12073991	odontoglossum
n12074408	oncidium, dancing lady orchid, butterfly plant, butterfly orchid
n12074867	bee orchid, ophrys apifera
n12075010	fly orchid, ophrys insectifera, ophrys muscifera
n12075299	early spider orchid, ophrys sphegodes
n12075151	spider orchid
n12075830	venus' slipper, venus's slipper, venus's shoe
n12076223	phaius
n12076852	butterfly plant, phalaenopsis amabilis
n12076577	moth orchid, moth plant
n12077244	rattlesnake orchid
n12077944	lesser butterfly orchid, platanthera bifolia, habenaria bifolia
n12078172	greater butterfly orchid, platanthera chlorantha, habenaria chlorantha
n12078451	prairie white fringed orchid, platanthera leucophea
n12078747	tangle orchid
n12079120	indian crocus
n12079523	pleurothallis
n12079963	pogonia
n12080588	psychopsis krameriana, oncidium papilio kramerianum
n12080820	psychopsis papilio, oncidium papilio
n12080395	butterfly orchid
n12081215	helmet orchid, greenhood
n12081649	foxtail orchid
n12082131	orange blossom orchid, sarcochilus falcatus
n12083113	sobralia
n12083847	screw augur, spiranthes cernua
n12084158	hooded ladies' tresses, spiranthes romanzoffiana
n12084400	western ladies' tresses, spiranthes porrifolia
n12084555	european ladies' tresses, spiranthes spiralis
n12083591	ladies' tresses, lady's tresses
n12084890	stanhopea
n12085267	stelis
n12085664	fly orchid
n12086192	blue orchid, vanda caerulea
n12086012	vanda
n12086778	vanilla orchid, vanilla planifolia
n12086539	vanilla
n12041446	orchid, orchidaceous plant
n12093329	cyclamen, cyclamen purpurascens
n12093600	sowbread, cyclamen hederifolium, cyclamen neopolitanum
n12252383	oconee bells, shortia galacifolia
n12252168	shortia
n12290975	rosita, centaurium calycosum
n12291143	lesser centaury, centaurium minus
n12291459	seaside centaury
n12291671	slender centaury
n12290748	centaury
n12294124	gentianella, gentiana acaulis
n12294331	closed gentian, blind gentian, bottle gentian, gentiana andrewsii
n12294542	explorer's gentian, gentiana calycosa
n12294723	closed gentian, blind gentian, gentiana clausa
n12294871	great yellow gentian, gentiana lutea
n12295033	marsh gentian, calathian violet, gentiana pneumonanthe
n12295237	soapwort gentian, gentiana saponaria
n12295429	striped gentian, gentiana villosa
n12295796	agueweed, ague weed, five flowered gentian, stiff gentian, gentianella quinquefolia, gentiana quinquefolia
n12296045	felwort, gentianella amarella
n12296735	gentianopsis crinita, gentiana crinita
n12296929	gentianopsis detonsa, gentiana detonsa
n12297110	gentianopsid procera, gentiana procera
n12297280	gentianopsis thermalis, gentiana thermalis
n12297507	tufted gentian, gentianopsis holopetala, gentiana holopetala
n12296432	fringed gentian
n12297846	spurred gentian
n12293723	gentian
n12360534	fibrous rooted begonia
n12362668	hybrid tuberous begonia, begonia tuberhybrida
n12360684	tuberous begonia
n12360817	rhizomatous begonia
n12360958	christmas begonia, blooming fool begonia, begonia cheimantha
n12361135	angel wing begonia, begonia cocchinea
n12361560	beefsteak begonia, kidney begonia, begonia erythrophylla, begonia feastii
n12361754	star begonia, star leaf begonia, begonia heracleifolia
n12361946	rex begonia, king begonia, painted leaf begonia, beefsteak geranium, begonia rex
n12362274	wax begonia, begonia semperflorens
n12362514	socotra begonia, begonia socotrana
n12360108	begonia
n12418507	wandflower, sparaxis tricolor
n12443736	coral drops, bessera elegans
n12444095	christmas bells
n12475242	strawflower, cornflower, uvularia grandiflora
n12475035	bellwort, merry bells, wild oats
n12480456	tuberose, polianthes tuberosa
n12606438	commelina
n12683571	sweet scabious, pincushion flower, mournful widow, scabiosa atropurpurea
n12683791	field scabious, scabiosa arvensis
n12683407	scabious, scabiosa
n12799776	woodland star, lithophragma affine, lithophragma affinis, tellima affinis
n12830222	achimenes, hot water plant
n12831141	lace flower vine, alsobia dianthiflora, episcia dianthiflora
n12833149	african violet, saintpaulia ionantha
n12834190	cape primrose
n12833985	streptocarpus
n12837052	california bluebell, phacelia campanularia
n12837259	california bluebell, whitlavia, phacelia minor, phacelia whitlavia
n12837466	fiddleneck, phacelia tanacetifolia
n12836862	scorpionweed, scorpion weed, phacelia
n12877493	white snapdragon, antirrhinum coulterianum
n12877637	yellow twining snapdragon, antirrhinum filipes
n12877838	mediterranean snapdragon, antirrhinum majus
n12877244	snapdragon
n12879527	calceolaria, slipperwort
n12883628	gerardia
n12884100	blue toadflax, old field toadflax, linaria canadensis
n12884260	toadflax, butter and eggs, wild snapdragon, devil's flax, linaria vulgaris
n12890490	field speedwell, veronica agrestis
n12890928	corn speedwell, veronica arvensis
n12891305	germander speedwell, bird's eye, veronica chamaedrys
n12891643	common speedwell, gypsyweed, veronica officinalis
n12891824	purslane speedwell, veronica peregrina
n12892013	thyme leaved speedwell, veronica serpyllifolia
n12890265	veronica, speedwell
n12898774	bush violet, browallia
n12909614	large white petunia, petunia axillaris
n12909759	violet flowered petunia, petunia integrifolia
n12909917	hybrid petunia, petunia hybrida
n12909421	petunia
n12913144	butterfly flower, poor man's orchid, schizanthus
n12914923	verbena, vervain
n12950314	common valerian, garden heliotrope, valeriana officinalis
n12950126	valerian
n12951146	red valerian, french honeysuckle, centranthus ruber
n11669921	flower
n12661045	indian madder, munjeet, rubia cordifolia
n12661227	madder, rubia tinctorum
n12660601	madderwort, rubiaceous plant
n11665372	angiosperm, flowering plant
n11552386	spermatophyte, phanerogam, seed plant
n11700058	mayapple, may apple, wild mandrake, podophyllum peltatum
n11720643	meadow buttercup, tall buttercup, tall crowfoot, tall field buttercup, ranunculus acris
n11722342	western buttercup, ranunculus occidentalis
n11722466	creeping buttercup, creeping crowfoot, ranunculus repens
n11722621	cursed crowfoot, celery leaved buttercup, ranunculus sceleratus
n11720353	buttercup, butterflower, butter flower, crowfoot, goldcup, kingcup
n11732052	goldthread, golden thread, coptis groenlandica, coptis trifolia groenlandica
n11733548	winter aconite, eranthis hyemalis
n11735053	hepatica, liverleaf
n11735570	goldenseal, golden seal, yellow root, turmeric root, hydrastis canadensis
n11735977	false rue anemone, false rue, isopyrum biternatum
n11736362	giant buttercup, laccopetalum giganteum
n11738997	false bugbane, trautvetteria carolinensis
n11739365	globeflower, globe flower
n12515711	chickpea, chickpea plant, egyptian pea, cicer arietinum
n12520406	guar, cluster bean, cyamopsis tetragonolobus, cyamopsis psoraloides
n12540250	beach pea, sea pea, lathyrus maritimus, lathyrus japonicus
n12540966	marsh pea, lathyrus palustris
n12541157	common vetchling, meadow pea, yellow vetchling, lathyrus pratensis
n12542043	tangier pea, tangier peavine, lalthyrus tingitanus
n12539306	wild pea
n12544240	lentil, lentil plant, lens culinaris
n12554729	purple locoweed, purple loco, oxytropis lambertii
n12554526	locoweed, crazyweed, crazy weed
n12557064	kidney bean, frijol, frijole
n12557438	haricot
n12557556	wax bean
n12557681	scarlet runner, scarlet runner bean, dutch case knife bean, runner bean, phaseolus coccineus, phaseolus multiflorus
n12556656	pole bean
n12558230	lima bean, lima bean plant, phaseolus limensis
n12558425	sieva bean, butter bean, butter bean plant, lima bean, phaseolus lunatus
n12558680	tepary bean, phaseolus acutifolius latifolius
n12561169	sugar snap pea, snap pea
n12560775	edible pod pea, edible podded pea, pisum sativum macrocarpon
